"Consider Only Product Quantity","Consider Only Product Quantity"
"ElasticSuite Stock Filter","ElasticSuite Stock Filter"
"General Configuration","General Configuration"
"If set to Yes, stock filter will consider only product quantity. Products with qty ≤ 0 will be considered out of stock. Please note, if you change this value, you will need to reindex Catalog Search index.","If set to Yes, stock filter will consider only product quantity. Products with qty ≤ 0 will be considered out of stock. Please note, if you change this value, you will need to reindex Catalog Search index."
"In Stock","In Stock"
"Out of Stock","Out of Stock"
